city,population,dining_access_rate,hotel_access_rate,attraction_access_rate,healthcare_density,essential_density,transit_density,bench_density,toilet_density,parking_density,tag_coverage_pct,pct_paved_streets,pct_good_smoothness
"Osaka, Japan",2751862,53.85,94.87,87.5,7.46,5.02,7.46,2.49,1.04,7.46,4.48,27.27,0.17
"Las Vegas, United States",641903,100.0,100.0,0.0,0.78,1.12,9.37,0.79,0.14,19.1,5.0,72.22,2.78
"Shanghai, China",24870895,66.67,76.92,57.14,1.46,3.43,7.46,1.75,0.16,2.47,9.07,17.21,0.0
"Ho Chi Minh City, Vietnam",14002598,31.67,57.14,0.0,1.9,3.58,7.46,2.23,0.06,1.36,6.03,14.19,0.0
"Barcelona, Spain",1731649,73.44,92.44,85.71,9.52,7.44,11.03,3.68,0.1,11.03,12.67,64.07,8.6
"Cairo, Egypt",9801536,75.0,52.38,0.0,1.15,1.43,0.8,0.57,0.02,0.82,4.78,1.91,0.0
"Milan, Italy",1354196,61.7,72.22,91.18,6.8,6.49,14.11,4.7,0.08,14.11,17.87,45.53,8.47
"Chennai, India",6599000,46.15,100.0,0.0,3.9,0.73,2.81,0.96,0.06,0.57,2.4,2.6,0.0
"Vienna, Austria",2028289,53.02,81.61,84.29,9.42,5.27,3.14,3.14,0.78,9.42,31.21,71.12,30.04
"Johor Bahru, Malaysia",797882,88.89,0.0,0.0,0.85,1.36,6.54,0.71,0.03,5.08,1.92,34.62,0.0
"Jaipur, India",3073350,0.0,66.67,0.0,2.07,0.19,1.39,0.96,0.03,0.45,2.29,6.98,2.33
"Cancun, Mexico",888797,65.85,72.73,0.0,0.76,1.55,1.13,4.34,0.0,1.43,26.67,6.9,0.0
"Berlin, Germany",3782202,63.74,73.84,77.06,7.46,5.01,0.0,2.49,1.05,7.46,53.94,64.94,42.64
"Athens, Greece",643452,39.81,50.79,64.71,15.95,12.16,19.1,6.37,0.11,10.06,17.17,51.44,4.42
"Orlando, United States",334854,92.31,100.0,100.0,0.61,0.52,7.58,1.06,0.03,7.04,12.0,0.0,0.0
