city,population,dining_access_rate,hotel_access_rate,attraction_access_rate,healthcare_density,essential_density,transit_density,bench_density,toilet_density,parking_density,tag_coverage_pct,pct_paved_streets,pct_good_smoothness,mobility_score,mobility_cluster,pca_x,pca_y,top_factors
"Tel Aviv, Israel",467875,90.91,92.31,100.0,1.53,3.83,15.06,6.21,0.29,10.52,8.42,38.94,2.74,83.5,3,1.9283210996571651,-1.433834607701862,"[('parking_density', 14.68), ('bench_density', 3.59), ('healthcare_density', -2.56)]"
"Guilin, China",5085500,0.0,0.0,0.0,0.13,0.08,1.42,0.28,0.04,0.41,0.0,4.81,0.0,0.0,1,-1.8561406665483533,-0.26860894325305507,"[('parking_density', -23.59), ('bench_density', -5.35), ('healthcare_density', -2.42)]"
"Honolulu, United States",350964,91.43,95.45,100.0,0.69,1.4,11.62,1.09,0.34,19.1,9.53,29.63,0.0,77.1,0,-0.42493049410284395,1.0343866530948385,"[('parking_density', 15.04), ('bench_density', -3.63), ('healthcare_density', -2.11)]"
"Hurghada, Egypt",214247,78.95,100.0,0.0,0.53,0.74,0.1,0.11,0.01,0.2,7.3,66.67,62.96,80.2,1,-1.848946187232646,-0.14424304792183984,"[('parking_density', -23.31), ('bench_density', -5.27), ('healthcare_density', -0.93)]"
"Krakow, Poland",804237,57.73,76.92,95.24,8.23,7.95,17.79,1.94,0.32,19.1,14.27,60.78,31.05,96.4,0,1.1631501762972503,1.5892093984184001,"[('parking_density', 17.09), ('bench_density', 2.79), ('healthcare_density', 2.69)]"
"Buenos Aires, Argentina",13985794,100.0,83.33,100.0,5.15,4.98,7.46,2.49,0.03,5.58,2.65,49.5,4.68,75.6,2,0.2809495678230769,-0.09363374489333431,"[('parking_density', -3.56), ('bench_density', 2.93), ('essential_density', 0.76)]"
"Chiba, Japan",975014,12.5,50.0,0.0,2.56,2.6,6.28,5.78,0.23,4.97,2.49,3.7,0.0,19.6,3,1.3926061724110592,-1.7629438244734954,"[('parking_density', -11.33), ('bench_density', 3.14), ('healthcare_density', -1.23)]"
"Frankfurt, Germany",775790,54.58,67.63,86.15,6.94,3.81,19.1,4.62,0.22,19.1,53.85,58.74,30.3,91.2,4,1.8965336613613897,0.11956757486115975,"[('parking_density', 17.66), ('bench_density', 4.05), ('healthcare_density', 2.57)]"
"Stockholm, Sweden",984748,74.26,87.5,100.0,4.01,3.53,17.94,6.37,0.33,19.1,12.28,46.14,17.74,92.1,4,2.518581150839386,-0.7287363894035309,"[('parking_density', 17.5), ('bench_density', 3.99), ('essential_density', 1.04)]"
"Da Nang, Vietnam",2819900,60.0,80.0,0.0,0.48,2.08,2.68,0.41,0.02,0.3,1.38,7.61,0.0,28.4,1,-1.5559492801960018,-0.14409551831894687,"[('parking_density', -23.92), ('bench_density', -5.33), ('healthcare_density', -2.16)]"
"Frankfurt, Indonesia",2237006,87.5,0.0,0.0,0.32,1.18,1.47,0.55,0.01,2.74,2.72,36.0,16.0,33.3,1,-1.4862047804412655,-0.08866436479995779,"[('parking_density', -10.44), ('bench_density', -6.11), ('healthcare_density', -2.13)]"
"Nice, France",357737,87.14,75.0,88.24,2.98,2.75,19.1,1.27,0.14,10.56,14.25,75.0,13.61,95.7,1,-0.4465551240913819,0.5002493823884467,"[('parking_density', 14.46), ('bench_density', -0.89), ('essential_density', 0.69)]"
"Fukuoka, Japan",1603043,59.09,80.0,100.0,3.42,5.18,4.25,3.22,0.44,11.92,3.27,8.07,0.0,55.0,2,0.8387408477856305,0.06103270185646843,"[('parking_density', 14.29), ('bench_density', 3.18), ('essential_density', 0.85)]"
"Abu Dhabi, United Arab Emirates",1570000,86.67,100.0,100.0,1.14,4.22,3.12,0.87,0.14,12.17,4.32,10.1,0.0,58.7,0,-0.5096474116001941,0.8286875747223456,"[('parking_density', 11.9), ('bench_density', -9.0), ('healthcare_density', -2.44)]"
"Jeju, South Korea",698358,75.0,100.0,0.0,5.32,3.45,8.23,0.94,0.08,19.1,0.94,36.73,4.08,53.1,0,0.012047100979982926,1.4745776378428035,"[('parking_density', 13.64), ('bench_density', -9.69), ('healthcare_density', 0.4)]"
"Porto, Portugal",273979,63.29,91.18,91.18,4.47,3.74,19.1,1.88,0.17,19.1,11.34,14.6,2.0,70.5,0,0.4389542014980609,1.0885814633493434,"[('parking_density', 16.76), ('bench_density', 2.01), ('essential_density', 0.75)]"
"Rio de Janeiro, Brazil",11900000,75.0,73.08,100.0,2.62,1.5,5.46,1.99,0.03,4.92,5.06,24.47,0.0,56.7,1,-0.5270268550420044,-0.3556236028742209,"[('parking_density', -10.73), ('bench_density', 2.47), ('essential_density', -1.21)]"
"Bangalore, India",12327000,36.84,70.83,20.0,4.91,2.94,7.46,2.49,0.11,3.73,6.07,26.32,5.26,40.8,2,-0.04616904419349472,-0.4240712068680593,"[('parking_density', -11.21), ('bench_density', 2.86), ('healthcare_density', 0.31)]"
"Dublin, Ireland",592713,74.21,85.37,91.3,6.88,5.3,19.1,3.31,0.17,19.1,27.61,60.59,8.87,89.5,4,1.436915176842007,0.7618791374760446,"[('parking_density', 17.45), ('bench_density', 3.86), ('healthcare_density', 2.55)]"
"Munich, Germany",1510378,59.9,71.3,82.98,12.65,4.33,12.65,4.22,0.43,12.65,51.96,68.44,48.05,100.0,4,1.8111749706163724,0.06459296382131134,"[('parking_density', 17.01), ('bench_density', 4.02), ('healthcare_density', 2.75)]"
"Jakarta, Indonesia",11135191,82.14,81.82,0.0,5.84,2.97,7.46,2.32,0.08,3.9,3.69,56.39,21.05,64.1,2,-0.05935185568440421,-0.29898521848329845,"[('parking_density', -11.04), ('bench_density', 2.83), ('healthcare_density', 0.71)]"
